[0.023s][info][gc,heap] Heap region size: 1M
[0.033s][info][gc     ] Using G1
[0.033s][info][gc,heap,coops] Heap address: 0x00000000fd800000, size: 40 MB, Compressed Oops mode: 32-bit
[0.672s][info][gc,start     ] GC(0) Pause Young (G1 Evacuation Pause)
[0.672s][info][gc,task      ] GC(0) Using 4 workers of 4 for evacuation
[0.680s][info][gc,phases    ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[0.680s][info][gc,phases    ] GC(0)   Evacuate Collection Set: 7.0ms
[0.680s][info][gc,phases    ] GC(0)   Post Evacuate Collection Set: 0.2ms
[0.680s][info][gc,phases    ] GC(0)   Other: 0.8ms
[0.680s][info][gc,heap      ] GC(0) Eden regions: 20->0(18)
[0.680s][info][gc,heap      ] GC(0) Survivor regions: 0->2(3)
[0.680s][info][gc,heap      ] GC(0) Old regions: 0->0
[0.680s][info][gc,heap      ] GC(0) Humongous regions: 0->0
[0.680s][info][gc,metaspace ] GC(0) Metaspace: 4622K->4622K(1056768K)
[0.681s][info][gc           ] GC(0) Pause Young (G1 Evacuation Pause) 20M->1M(40M) 8.558ms
[0.681s][info][gc,cpu       ] GC(0) User=0.03s Sys=0.03s Real=0.01s
[0.745s][info][gc,start     ] GC(1) Pause Young (G1 Evacuation Pause)
[0.745s][info][gc,task      ] GC(1) Using 4 workers of 4 for evacuation
[0.753s][info][gc,phases    ] GC(1)   Pre Evacuate Collection Set: 0.0ms
[0.753s][info][gc,phases    ] GC(1)   Evacuate Collection Set: 7.1ms
[0.753s][info][gc,phases    ] GC(1)   Post Evacuate Collection Set: 0.2ms
[0.753s][info][gc,phases    ] GC(1)   Other: 0.6ms
[0.753s][info][gc,heap      ] GC(1) Eden regions: 18->0(18)
[0.753s][info][gc,heap      ] GC(1) Survivor regions: 2->2(3)
[0.753s][info][gc,heap      ] GC(1) Old regions: 0->0
[0.753s][info][gc,heap      ] GC(1) Humongous regions: 0->0
[0.753s][info][gc,metaspace ] GC(1) Metaspace: 4701K->4701K(1056768K)
[0.754s][info][gc           ] GC(1) Pause Young (G1 Evacuation Pause) 19M->1M(40M) 8.198ms
[0.754s][info][gc,cpu       ] GC(1) User=0.00s Sys=0.00s Real=0.01s
[0.784s][info][gc,start     ] GC(2) Pause Young (G1 Evacuation Pause)
[0.784s][info][gc,task      ] GC(2) Using 4 workers of 4 for evacuation
[0.791s][info][gc,phases    ] GC(2)   Pre Evacuate Collection Set: 0.0ms
[0.791s][info][gc,phases    ] GC(2)   Evacuate Collection Set: 6.1ms
[0.791s][info][gc,phases    ] GC(2)   Post Evacuate Collection Set: 0.2ms
[0.791s][info][gc,phases    ] GC(2)   Other: 0.7ms
[0.791s][info][gc,heap      ] GC(2) Eden regions: 18->0(18)
[0.791s][info][gc,heap      ] GC(2) Survivor regions: 2->2(3)
[0.791s][info][gc,heap      ] GC(2) Old regions: 0->0
[0.791s][info][gc,heap      ] GC(2) Humongous regions: 0->0
